[arm_control] arm=control steps=18000 batch=8 base_lr=1e-05 lamda_sisnr=1.0 bn_frozen=22
[arm_control] *** VAL step 12000: SE-loss=0.2368 SI-SDR=18.47dB
[arm_control] step 12200/18000 loss_se=-0.8946 pres=0.0000 lr=1.00e-05 t=1308s
[arm_control] step 12400/18000 loss_se=0.3652 pres=0.0000 lr=1.00e-05 t=1329s
[arm_control] step 12600/18000 loss_se=0.5725 pres=0.0000 lr=1.00e-05 t=1350s
[arm_control] step 12800/18000 loss_se=0.6220 pres=0.0000 lr=1.00e-05 t=1371s
[arm_control] step 13000/18000 loss_se=-0.4988 pres=0.0000 lr=1.00e-05 t=1392s
[arm_control] step 13200/18000 loss_se=1.5561 pres=0.0000 lr=1.00e-05 t=1414s
[arm_control] step 13400/18000 loss_se=1.4868 pres=0.0000 lr=1.00e-05 t=1435s
[arm_control] step 13600/18000 loss_se=0.6098 pres=0.0000 lr=1.00e-05 t=1456s
[arm_control] step 13800/18000 loss_se=-0.6981 pres=0.0000 lr=1.00e-05 t=1477s
[arm_control] step 14000/18000 loss_se=0.2446 pres=0.0000 lr=1.00e-05 t=1498s
[arm_control] *** VAL step 14000: SE-loss=0.2349 SI-SDR=18.48dB
[arm_control] step 14200/18000 loss_se=-0.8758 pres=0.0000 lr=1.00e-05 t=1520s
[arm_control] step 14400/18000 loss_se=-0.8454 pres=0.0000 lr=1.00e-05 t=1542s
[arm_control] step 14600/18000 loss_se=0.4371 pres=0.0000 lr=1.00e-05 t=1563s
[arm_control] step 14800/18000 loss_se=-0.9998 pres=0.0000 lr=1.00e-05 t=1585s
[arm_control] step 15000/18000 loss_se=-0.6430 pres=0.0000 lr=1.00e-05 t=1606s
[arm_control] step 15200/18000 loss_se=-0.3667 pres=0.0000 lr=1.00e-05 t=1628s
[arm_control] step 15400/18000 loss_se=0.7434 pres=0.0000 lr=1.00e-05 t=1649s
[arm_control] step 15600/18000 loss_se=-0.0879 pres=0.0000 lr=1.00e-05 t=1671s
[arm_control] step 15800/18000 loss_se=0.6021 pres=0.0000 lr=1.00e-05 t=1692s
[arm_control] step 16000/18000 loss_se=0.1792 pres=0.0000 lr=1.00e-05 t=1714s
[arm_control] *** VAL step 16000: SE-loss=0.2295 SI-SDR=18.51dB
[arm_control] step 16200/18000 loss_se=0.7584 pres=0.0000 lr=1.00e-05 t=1736s
[arm_control] step 16400/18000 loss_se=0.3382 pres=0.0000 lr=1.00e-05 t=1757s
[arm_control] step 16600/18000 loss_se=-0.3345 pres=0.0000 lr=1.00e-05 t=1778s
[arm_control] step 16800/18000 loss_se=0.1788 pres=0.0000 lr=1.00e-05 t=1799s
[arm_control] step 17000/18000 loss_se=1.4137 pres=0.0000 lr=1.00e-05 t=1820s
[arm_control] step 17200/18000 loss_se=0.1456 pres=0.0000 lr=1.00e-05 t=1841s
[arm_control] step 17400/18000 loss_se=0.0443 pres=0.0000 lr=1.00e-05 t=1862s
[arm_control] step 17600/18000 loss_se=-1.1058 pres=0.0000 lr=1.00e-05 t=1883s
[arm_control] step 17800/18000 loss_se=-0.6017 pres=0.0000 lr=1.00e-05 t=1905s
[arm_control] step 18000/18000 loss_se=0.7273 pres=0.0000 lr=1.00e-05 t=1925s
[arm_control] *** VAL step 18000: SE-loss=0.2281 SI-SDR=18.51dB
=== [arm_control] DONE 1926.0s (9.35 steps/s) best_val=0.2281 peak_vram=941MB ===
