[arm_snr_curriculum] arm=snr_curriculum steps=18000 batch=8 base_lr=1e-05 lamda_sisnr=1.0 bn_frozen=22
[arm_snr_curriculum] step 10600/18000 loss_se=-1.6681 pres=0.0000 lr=1.00e-05 t=1147s
[arm_snr_curriculum] step 10800/18000 loss_se=-0.5234 pres=0.0000 lr=1.00e-05 t=1168s
[arm_snr_curriculum] step 11000/18000 loss_se=-1.3132 pres=0.0000 lr=1.00e-05 t=1189s
[arm_snr_curriculum] step 11200/18000 loss_se=-0.3403 pres=0.0000 lr=1.00e-05 t=1211s
[arm_snr_curriculum] step 11400/18000 loss_se=0.5096 pres=0.0000 lr=1.00e-05 t=1232s
[arm_snr_curriculum] step 11600/18000 loss_se=0.6580 pres=0.0000 lr=1.00e-05 t=1253s
[arm_snr_curriculum] step 11800/18000 loss_se=-0.5041 pres=0.0000 lr=1.00e-05 t=1275s
[arm_snr_curriculum] step 12000/18000 loss_se=0.3441 pres=0.0000 lr=1.00e-05 t=1296s
[arm_snr_curriculum] *** VAL step 12000: SE-loss=0.2350 SI-SDR=18.48dB
[arm_snr_curriculum] step 12200/18000 loss_se=-0.4352 pres=0.0000 lr=1.00e-05 t=1319s
[arm_snr_curriculum] step 12400/18000 loss_se=-0.6369 pres=0.0000 lr=1.00e-05 t=1340s
[arm_snr_curriculum] step 12600/18000 loss_se=0.3123 pres=0.0000 lr=1.00e-05 t=1361s
[arm_snr_curriculum] step 12800/18000 loss_se=1.5200 pres=0.0000 lr=1.00e-05 t=1382s
[arm_snr_curriculum] step 13000/18000 loss_se=-0.5584 pres=0.0000 lr=1.00e-05 t=1403s
[arm_snr_curriculum] step 13200/18000 loss_se=0.2987 pres=0.0000 lr=1.00e-05 t=1424s
[arm_snr_curriculum] step 13400/18000 loss_se=0.5593 pres=0.0000 lr=1.00e-05 t=1445s
[arm_snr_curriculum] step 13600/18000 loss_se=-0.8886 pres=0.0000 lr=1.00e-05 t=1466s
[arm_snr_curriculum] step 13800/18000 loss_se=-0.0424 pres=0.0000 lr=1.00e-05 t=1488s
[arm_snr_curriculum] step 14000/18000 loss_se=-0.8411 pres=0.0000 lr=1.00e-05 t=1508s
[arm_snr_curriculum] *** VAL step 14000: SE-loss=0.2338 SI-SDR=18.48dB
[arm_snr_curriculum] step 14200/18000 loss_se=0.1978 pres=0.0000 lr=1.00e-05 t=1531s
[arm_snr_curriculum] step 14400/18000 loss_se=1.2321 pres=0.0000 lr=1.00e-05 t=1552s
[arm_snr_curriculum] step 14600/18000 loss_se=-0.4207 pres=0.0000 lr=1.00e-05 t=1573s
[arm_snr_curriculum] step 14800/18000 loss_se=0.1103 pres=0.0000 lr=1.00e-05 t=1595s
[arm_snr_curriculum] step 15000/18000 loss_se=-0.5148 pres=0.0000 lr=1.00e-05 t=1616s
[arm_snr_curriculum] step 15200/18000 loss_se=0.2223 pres=0.0000 lr=1.00e-05 t=1637s
[arm_snr_curriculum] step 15400/18000 loss_se=-0.1625 pres=0.0000 lr=1.00e-05 t=1658s
[arm_snr_curriculum] step 15600/18000 loss_se=-0.0074 pres=0.0000 lr=1.00e-05 t=1680s
[arm_snr_curriculum] step 15800/18000 loss_se=-0.4404 pres=0.0000 lr=1.00e-05 t=1701s
[arm_snr_curriculum] step 16000/18000 loss_se=1.8961 pres=0.0000 lr=1.00e-05 t=1723s
[arm_snr_curriculum] *** VAL step 16000: SE-loss=0.2317 SI-SDR=18.49dB
[arm_snr_curriculum] step 16200/18000 loss_se=-0.6672 pres=0.0000 lr=1.00e-05 t=1745s
[arm_snr_curriculum] step 16400/18000 loss_se=-0.3289 pres=0.0000 lr=1.00e-05 t=1766s
[arm_snr_curriculum] step 16600/18000 loss_se=-0.7849 pres=0.0000 lr=1.00e-05 t=1787s
[arm_snr_curriculum] step 16800/18000 loss_se=-0.3473 pres=0.0000 lr=1.00e-05 t=1809s
[arm_snr_curriculum] step 17000/18000 loss_se=0.2457 pres=0.0000 lr=1.00e-05 t=1830s
[arm_snr_curriculum] step 17200/18000 loss_se=-0.3773 pres=0.0000 lr=1.00e-05 t=1852s
[arm_snr_curriculum] step 17400/18000 loss_se=0.0151 pres=0.0000 lr=1.00e-05 t=1873s
[arm_snr_curriculum] step 17600/18000 loss_se=0.5437 pres=0.0000 lr=1.00e-05 t=1894s
[arm_snr_curriculum] step 17800/18000 loss_se=-0.9511 pres=0.0000 lr=1.00e-05 t=1915s
[arm_snr_curriculum] step 18000/18000 loss_se=-0.4451 pres=0.0000 lr=1.00e-05 t=1935s
[arm_snr_curriculum] *** VAL step 18000: SE-loss=0.2279 SI-SDR=18.51dB
=== [arm_snr_curriculum] DONE 1935.4s (9.30 steps/s) best_val=0.2279 peak_vram=941MB ===
