step,loss_total,loss_se,loss_asr,elapsed_s
1,1.7086976766586304,1.4738646745681763,3.9241697788238525,0.24765849113464355
2,1.70716392993927,1.313312292098999,6.581445693969727,0.3746025562286377
3,2.3132715225219727,2.137728691101074,2.933401107788086,0.49640727043151855
4,0.2377934455871582,-0.07426786422729492,5.214690685272217,0.6288251876831055
5,0.3722284436225891,0.12140798568725586,4.191327095031738,0.7626416683197021
6,1.2137339115142822,0.8310531377792358,6.394774913787842,0.8846971988677979
7,1.1255509853363037,0.8371751308441162,4.818896293640137,1.007838487625122
8,2.5460686683654785,2.221477508544922,5.424071311950684,1.1328730583190918
9,1.78473699092865,1.5933787822723389,3.197685718536377,1.2548410892486572
10,1.5128461122512817,1.2043015956878662,5.155923843383789,1.3775498867034912
11,0.20730039477348328,-0.290669322013855,8.321307182312012,1.5030648708343506
12,1.1624715328216553,0.8283857107162476,5.582729339599609,1.6261870861053467
13,1.633396863937378,1.3869119882583618,4.118876934051514,1.7489120960235596
14,0.5834735035896301,0.3953847885131836,3.143050193786621,1.8705220222473145
15,1.5296616554260254,1.1279575824737549,6.712662696838379,1.9917430877685547
16,0.8723671436309814,0.5862501859664917,4.7811479568481445,2.115204334259033
17,-0.07990927994251251,-0.2707099914550781,3.1883692741394043,2.239147663116455
18,0.5756051540374756,0.34712648391723633,3.8179852962493896,2.364668607711792
19,0.5752590894699097,0.09354424476623535,8.049680709838867,2.4955782890319824
20,0.5952361226081848,0.43504631519317627,2.676846981048584,2.6194570064544678
21,0.24421143531799316,-0.03289377689361572,4.630558013916016,2.742884874343872
22,1.0882136821746826,0.76555335521698,5.391805648803711,2.867976427078247
23,1.3404710292816162,1.0618672370910645,4.6555986404418945,2.991252899169922
24,1.9577645063400269,1.7770516872406006,3.019796371459961,3.114309787750244
25,0.4156944155693054,0.03824782371520996,6.307309150695801,3.238171100616455
26,2.9596927165985107,2.721196413040161,3.985384941101074,3.3607184886932373
27,-0.5955654382705688,-0.767664909362793,2.8758621215820312,3.4974594116210938
28,0.3553886115550995,0.11125636100769043,4.079564094543457,3.6235036849975586
29,1.8094731569290161,1.584592580795288,3.757859706878662,3.7457356452941895
30,1.7090874910354614,1.3714532852172852,5.642025470733643,3.868525266647339
31,0.723742663860321,0.5046358108520508,3.6613779067993164,4.002340078353882
32,0.6942178010940552,0.47815024852752686,3.6105897426605225,4.124549150466919
33,1.4312670230865479,0.9864388704299927,7.433286666870117,4.245946407318115
34,1.4711833000183105,1.2728867530822754,3.313628673553467,4.367609024047852
35,0.9640089869499207,0.7782031297683716,3.104903221130371,4.501801490783691
36,-0.13566407561302185,-0.19388818740844727,0.9729523062705994,4.623584508895874
37,-0.5013965368270874,-0.6486711502075195,2.461027145385742,4.745235204696655
38,0.9570192694664001,0.6298282146453857,5.467515468597412,4.867124080657959
39,1.0266392230987549,0.7857092618942261,4.026052474975586,4.99577522277832
40,0.3802517056465149,0.1242072582244873,4.278622627258301,5.115916967391968
41,-0.21307435631752014,-0.5462908744812012,5.568203926086426,5.235937833786011
42,1.1443222761154175,0.832406759262085,5.212255001068115,5.355736255645752
43,0.2988559305667877,0.03112208843231201,4.4739580154418945,5.476134300231934
44,-0.19243599474430084,-0.35382378101348877,2.6968655586242676,5.598955869674683
45,1.4783836603164673,1.4009828567504883,1.29340398311615,5.719973802566528
46,0.3052019774913788,-0.11844205856323242,7.079290390014648,5.841388940811157
47,0.6550298929214478,0.43001651763916016,3.7600789070129395,5.9611265659332275
48,1.3993284702301025,1.0721769332885742,5.466856002807617,6.081597328186035
49,1.4007248878479004,1.138918399810791,4.374908924102783,6.201534032821655
50,0.626430094242096,0.4016592502593994,3.756026268005371,6.3213653564453125
51,-0.6078609228134155,-0.8251771926879883,3.6314568519592285,6.440674066543579
52,0.02992841601371765,-0.2492908239364624,4.665884017944336,6.561195135116577
53,0.6848533153533936,0.2774491310119629,6.807914733886719,6.682036876678467
54,1.2772364616394043,1.0640969276428223,3.561662435531616,6.80286979675293
55,2.563828229904175,2.1690127849578857,6.597550868988037,6.923226594924927
56,0.3813166916370392,-0.013576745986938477,6.598854064941406,7.043853998184204
57,1.1045846939086914,0.8438125848770142,4.35762357711792,7.1640589237213135
58,1.8078832626342773,1.4157352447509766,6.552976608276367,7.2848405838012695
59,0.7621830701828003,0.48999929428100586,4.548318862915039,7.404818058013916
60,-0.24497391283512115,-0.4267979860305786,3.038365364074707,7.525737762451172
61,0.9129383563995361,0.6190793514251709,4.910521507263184,7.647171974182129
62,1.0553747415542603,0.9744929075241089,1.3515734672546387,7.7687458992004395
63,1.0427165031433105,0.8675012588500977,2.927928924560547,7.8896191120147705
64,2.928102731704712,2.6118149757385254,5.285317420959473,8.009969472885132
65,1.0019888877868652,0.7454531192779541,4.286831855773926,8.130916118621826
66,0.48461833596229553,0.14555442333221436,5.665916919708252,8.251668691635132
67,0.31564098596572876,0.057721614837646484,4.309953212738037,8.371511459350586
68,0.7770317196846008,0.44963228702545166,5.4709978103637695,8.492416143417358
69,1.5593817234039307,1.2945759296417236,4.425029277801514,8.61332106590271
70,1.5165444612503052,1.3485724925994873,2.8068900108337402,8.733875513076782
71,2.3713936805725098,2.044297695159912,5.46592903137207,8.855047702789307
72,1.9535773992538452,1.2527093887329102,11.711833000183105,8.97538423538208
73,1.375159740447998,0.968883752822876,6.789061546325684,9.096492290496826
74,1.401850700378418,1.089848518371582,5.213703632354736,9.217182397842407
75,0.2305600941181183,-0.059632182121276855,4.849248886108398,9.337457418441772
76,0.7346487045288086,0.41380441188812256,5.361458778381348,9.458158731460571
77,2.6876418590545654,2.401516914367676,4.781282424926758,9.578927516937256
78,1.0793650150299072,0.7633323669433594,5.28105354309082,9.699485301971436
79,0.7371770739555359,0.4898308515548706,4.133271217346191,9.820561647415161
80,0.11748203635215759,-0.1358184814453125,4.2327704429626465,9.940713882446289
81,0.8975460529327393,0.5626822710037231,5.595730304718018,10.061279296875
82,0.6017082333564758,0.5367821455001831,1.0849450826644897,10.181865692138672
83,1.4306126832962036,1.0642526149749756,6.122048854827881,10.302824974060059
84,0.9967631101608276,0.7792067527770996,3.635468006134033,10.423048257827759
85,0.26884719729423523,-0.009194731712341309,4.646210670471191,10.54346227645874
86,0.4024590849876404,0.22376835346221924,2.9860057830810547,10.664034128189087
87,-0.1966656744480133,-0.5465778112411499,5.847195625305176,10.7839035987854
88,0.35634273290634155,0.00035822391510009766,5.948668003082275,10.90428376197815
89,1.1828771829605103,0.9671788215637207,3.6044201850891113,11.024060487747192
90,2.673489809036255,2.4731357097625732,3.3480114936828613,11.144447803497314
91,0.4090719223022461,0.20985949039459229,3.3289332389831543,11.265623092651367
92,1.638436198234558,1.5267705917358398,1.8659851551055908,11.387338399887085
93,1.5034773349761963,1.2200931310653687,4.735483169555664,11.508405685424805
94,0.5735605955123901,0.33197546005249023,4.03700065612793,11.629660844802856
95,2.342369318008423,2.1155309677124023,3.7905759811401367,11.751277923583984
96,0.4103061556816101,0.21949660778045654,3.188516616821289,11.872552633285522
97,1.1137385368347168,0.8854261636734009,3.8152074813842773,11.992831468582153
98,0.9206271171569824,0.6584502458572388,4.381097793579102,12.11532735824585
