[arm_preserve] arm=preserve steps=18000 batch=8 base_lr=1e-05 lamda_sisnr=0.3 bn_frozen=22
/content/ulunas-robot-proxy-poc/SEtrain_adapted/train_arm.py:150: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  "loss_se": l_se.item(), "loss_pres": float(l_pres),
[arm_preserve] step 11200/18000 loss_se=1.1559 pres=0.0038 lr=1.00e-05 t=1226s
[arm_preserve] step 11400/18000 loss_se=1.2167 pres=0.0044 lr=1.00e-05 t=1248s
[arm_preserve] step 11600/18000 loss_se=1.7535 pres=0.0054 lr=1.00e-05 t=1270s
[arm_preserve] step 11800/18000 loss_se=0.4678 pres=0.0024 lr=1.00e-05 t=1291s
[arm_preserve] step 12000/18000 loss_se=0.9732 pres=0.0035 lr=1.00e-05 t=1312s
[arm_preserve] *** VAL step 12000: SE-loss=1.5375 SI-SDR=18.37dB
[arm_preserve] step 12200/18000 loss_se=0.6864 pres=0.0028 lr=1.00e-05 t=1334s
[arm_preserve] step 12400/18000 loss_se=1.4515 pres=0.0047 lr=1.00e-05 t=1355s
[arm_preserve] step 12600/18000 loss_se=1.8909 pres=0.0053 lr=1.00e-05 t=1377s
[arm_preserve] step 12800/18000 loss_se=1.5863 pres=0.0041 lr=1.00e-05 t=1399s
[arm_preserve] step 13000/18000 loss_se=0.8302 pres=0.0027 lr=1.00e-05 t=1420s
[arm_preserve] step 13200/18000 loss_se=2.4398 pres=0.0072 lr=1.00e-05 t=1442s
[arm_preserve] step 13400/18000 loss_se=2.5569 pres=0.0072 lr=1.00e-05 t=1462s
[arm_preserve] step 13600/18000 loss_se=1.7645 pres=0.0050 lr=1.00e-05 t=1484s
[arm_preserve] step 13800/18000 loss_se=0.6610 pres=0.0027 lr=1.00e-05 t=1506s
[arm_preserve] step 14000/18000 loss_se=1.3622 pres=0.0043 lr=1.00e-05 t=1528s
[arm_preserve] *** VAL step 14000: SE-loss=1.5368 SI-SDR=18.38dB
[arm_preserve] step 14200/18000 loss_se=0.7635 pres=0.0030 lr=1.00e-05 t=1550s
[arm_preserve] step 14400/18000 loss_se=0.6979 pres=0.0029 lr=1.00e-05 t=1572s
[arm_preserve] step 14600/18000 loss_se=1.7442 pres=0.0047 lr=1.00e-05 t=1593s
[arm_preserve] step 14800/18000 loss_se=0.3960 pres=0.0022 lr=1.00e-05 t=1615s
[arm_preserve] step 15000/18000 loss_se=0.7995 pres=0.0029 lr=1.00e-05 t=1636s
[arm_preserve] step 15200/18000 loss_se=1.0422 pres=0.0032 lr=1.00e-05 t=1657s
