step,loss_total,loss_se,loss_asr,elapsed_s
1,1.7672991752624512,1.7672991752624512,,0.9132513999938965
2,2.4273812770843506,2.4273812770843506,,1.0022451877593994
3,1.4387372732162476,1.4387372732162476,,1.0856895446777344
4,1.877577543258667,1.877577543258667,,1.1682853698730469
5,1.3727675676345825,1.3727675676345825,,1.2530159950256348
6,1.0840855836868286,1.0840855836868286,,1.3482918739318848
7,1.7013626098632812,1.7013626098632812,,1.434516191482544
8,1.926466464996338,1.926466464996338,,1.5239050388336182
9,2.5325615406036377,2.5325615406036377,,1.6116955280303955
10,2.432682752609253,2.432682752609253,,1.6997804641723633
11,2.4084811210632324,2.4084811210632324,,1.787644863128662
12,1.4125266075134277,1.4125266075134277,,1.8770222663879395
13,2.6771013736724854,2.6771013736724854,,1.9613409042358398
14,2.0110554695129395,2.0110554695129395,,2.061614513397217
15,1.9830142259597778,1.9830142259597778,,2.1476101875305176
16,2.525465250015259,2.525465250015259,,2.2363455295562744
17,1.811910629272461,1.811910629272461,,2.3217015266418457
18,3.2049179077148438,3.2049179077148438,,2.405146837234497
19,1.9250239133834839,1.9250239133834839,,2.489790439605713
20,2.648621082305908,2.648621082305908,,2.573798418045044
21,2.2097067832946777,2.2097067832946777,,2.658921003341675
22,1.3226076364517212,1.3226076364517212,,2.743732452392578
23,1.8627015352249146,1.8627015352249146,,2.8291115760803223
24,2.887341260910034,2.887341260910034,,2.911850929260254
25,1.1553112268447876,1.1553112268447876,,2.994605302810669
26,1.8761537075042725,1.8761537075042725,,3.0771336555480957
27,1.756076693534851,1.756076693534851,,3.1612911224365234
28,1.6554466485977173,1.6554466485977173,,3.2442538738250732
29,2.596876621246338,2.596876621246338,,3.328629493713379
30,1.6704015731811523,1.6704015731811523,,3.4117116928100586
31,2.170294761657715,2.170294761657715,,3.4960525035858154
32,2.225797653198242,2.225797653198242,,3.5779247283935547
33,0.6593194007873535,0.6593194007873535,,3.660519599914551
34,1.9199278354644775,1.9199278354644775,,3.744901180267334
35,2.5896010398864746,2.5896010398864746,,3.83096981048584
36,1.4190804958343506,1.4190804958343506,,3.915515661239624
37,3.280745267868042,3.280745267868042,,3.999289035797119
38,1.8020087480545044,1.8020087480545044,,4.083258628845215
39,2.3772716522216797,2.3772716522216797,,4.167985439300537
40,2.1268398761749268,2.1268398761749268,,4.2516961097717285
41,1.2195693254470825,1.2195693254470825,,4.3347251415252686
42,3.1417136192321777,3.1417136192321777,,4.418231725692749
43,1.0251051187515259,1.0251051187515259,,4.505635499954224
44,1.7050758600234985,1.7050758600234985,,4.591212034225464
45,2.782961845397949,2.782961845397949,,4.676048278808594
46,2.0690810680389404,2.0690810680389404,,4.760344982147217
47,2.8953142166137695,2.8953142166137695,,4.8458733558654785
48,2.2065203189849854,2.2065203189849854,,4.936122894287109
49,1.2781100273132324,1.2781100273132324,,5.020771741867065
50,1.5335838794708252,1.5335838794708252,,5.104363203048706
51,2.9432177543640137,2.9432177543640137,,5.1883299350738525
