step,loss_total,loss_se,loss_asr,elapsed_s
1,0.907532811164856,0.2635345458984375,6.581818580627441,0.30353426933288574
2,1.423677921295166,1.126603603363037,3.036172389984131,0.4400901794433594
3,0.1631569266319275,0.017067909240722656,1.4930652379989624,0.5748755931854248
4,1.274813175201416,0.706139326095581,5.811984539031982,0.6995549201965332
5,0.3108466863632202,-0.008314728736877441,3.2619071006774902,0.8297450542449951
6,-0.07453644275665283,-0.3315286636352539,2.626523017883301,0.9511363506317139
7,1.103757381439209,0.5358511209487915,5.804139614105225,1.0726509094238281
8,0.9575926065444946,0.5723694562911987,3.9370737075805664,1.1923611164093018
9,1.6004936695098877,1.32599675655365,2.8054256439208984,1.3199124336242676
10,1.7577193975448608,1.3336024284362793,4.334578514099121,1.4483258724212646
11,1.7578922510147095,1.3661342859268188,4.003861427307129,1.5713684558868408
12,0.48625701665878296,0.08340275287628174,4.1172685623168945,1.693864345550537
13,2.0369529724121094,1.612072467803955,4.342381477355957,1.8500454425811768
14,0.9400755763053894,0.6985650062561035,2.468296766281128,1.9771862030029297
15,0.9938652515411377,0.5023288726806641,5.023621559143066,2.103083372116089
16,2.181938886642456,1.3944655656814575,8.048168182373047,2.2291646003723145
17,0.7217114567756653,0.4970052242279053,2.2965524196624756,2.356170415878296
18,2.6853392124176025,2.3180694580078125,3.7535862922668457,2.4894399642944336
19,1.0815541744232178,0.5871924161911011,5.052497386932373,2.6139228343963623
20,1.8755182027816772,1.5256441831588745,3.5757975578308105,2.7383599281311035
21,1.4269945621490479,0.9044091701507568,5.340950012207031,2.8633534908294678
22,0.35643690824508667,0.03509795665740967,3.2841622829437256,2.985807418823242
23,0.3899533152580261,0.2924562692642212,0.9964433908462524,3.111180305480957
24,2.4188480377197266,1.9947330951690674,4.33455753326416,3.2358546257019043
25,0.46744614839553833,-0.3418365716934204,8.271065711975098,3.3626058101654053
26,1.277031421661377,0.6770604848861694,6.13184928894043,3.4965176582336426
27,1.013537883758545,0.5841400623321533,4.388550758361816,3.621516227722168
28,0.7414888143539429,0.41030824184417725,3.3847460746765137,3.7483527660369873
29,2.0132997035980225,1.4873671531677246,5.375158309936523,3.8767507076263428
30,0.7430893182754517,0.10809838771820068,6.4897613525390625,4.000614166259766
31,1.5096561908721924,1.031572937965393,4.886127471923828,4.125379800796509
32,1.8254585266113281,1.1463537216186523,6.940616130828857,4.250701427459717
33,-0.5346030592918396,-0.994379997253418,4.699031829833984,4.374037265777588
34,1.268094539642334,0.6913291215896606,5.894682884216309,4.496530532836914
35,2.0935447216033936,1.5886155366897583,5.16049861907959,4.6183881759643555
36,0.6273889541625977,-0.004306793212890625,6.456084251403809,4.739752531051636
37,2.895942211151123,2.339073419570923,5.691333770751953,4.861676216125488
38,1.1506470441818237,0.60639488697052,5.562389373779297,4.9841461181640625
39,1.5615906715393066,1.2379179000854492,3.308014392852783,5.1057188510894775
40,1.2404816150665283,0.931149959564209,3.1614441871643066,5.226961612701416
41,0.37759560346603394,-0.24869513511657715,6.400843620300293,5.348179340362549
42,2.7023138999938965,2.239398956298828,4.731104373931885,5.469253063201904
43,-0.3813902735710144,-0.5681068897247314,1.9082891941070557,5.59077525138855
44,0.7656072974205017,0.30746161937713623,4.6823601722717285,5.712072849273682
45,1.9667061567306519,1.5175387859344482,4.59060001373291,5.835152626037598
46,1.2202469110488892,0.8397349119186401,3.8889248371124268,5.957485198974609
47,2.0504119396209717,1.7654013633728027,2.9128775596618652,6.079646587371826
48,1.6094011068344116,1.0398188829421997,5.821268558502197,6.203995704650879
49,0.18844228982925415,-0.15944242477416992,3.5554661750793457,6.328145742416382
50,0.3390634059906006,0.1311323642730713,2.125105857849121,6.45074200630188
51,2.336806535720825,1.992832899093628,3.5154943466186523,6.573090076446533
52,-0.1971929669380188,-0.47785627841949463,2.8684473037719727,6.694279670715332
53,1.0698730945587158,0.6184978485107422,4.613164901733398,6.815581560134888
